悪化,増悪,退転,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
殴る,なぐる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
不信,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
絶望,悲観,失望,自棄,銷魂,絶念,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
偏見,偏執,偏り,バイアス,偏愛,傾向,成心,依估,バイヤス,片寄り,依怙,僻見,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
悟る,気づく,気付く,感じ取る,見抜く,察する,感じとる,捕える,捕らえる,判る,分る,めっける,勘づく,かぎ分ける,嗅ぎわける,気色取る,心付く,感付く,目っける,心づく,聴取る,感づく,勘付く,見取る,,,,,,,,,,,,,,,,,,,,
引きずる,保つ,続ける,伸ばす,延ばす,持切る,保する,持ち切る,引張る,長める,引摺る,引き摺る,ぶっ続ける,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拘束,束縛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
故意,害心,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
罰金,ペナルティ,ペナルティー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吐き気,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あげく,揚句,揚げ句,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
追いつめる,追い詰める,追いかける,追い掛ける,追っ掛ける,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
処分,料理,掌理,処理,処弁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
容赦,赦免,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
トラップ,罠,ワナ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
愚か,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
後遺症,こーいしょー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
止む,止まる,終る,終わる,済む,了する,止る,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
罪悪,罪業,不善,不浄,罪科,罪過,辜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
悪質,凶悪,悪辣,極悪,邪悪,腹黒,極道,よこしま,邪ま,罪作り,悪らつ,兇悪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
苦しめる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
火傷,やけど,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
さっさと,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流産,死産,堕胎,中絶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
妨害,邪魔,阻害,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
トラウマ,心的外傷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
散々,さんざん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
神経症,しんけーしょー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
悪口,陰口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嫌悪,けんお,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
悪循環,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
制裁,処罰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
理不尽,りふじん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
未払い,未納,滞納,怠納,未入金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
苦悩,くのー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
脅し,脅す,脅かす,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
捕虜,俘虜,虜囚,囚人,人質,獄囚,刑徒,囚われ人,囚徒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
残酷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ジェラシー,嫉妬,やきもち,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
腫れる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
潰れる,崩れ落ちる,崩れる,潰える,崩れ去る,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
可哀想,かわいそう,気の毒,哀れ,憐れ,不憫,無残,無惨,可哀相,不愍,お気の毒,御気の毒,気のどく,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
強要,強迫,無理強い,強制,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疑惑,疑い,疑念,嫌疑,疑心,懐疑,疑り,予感,直観,直感,予覚,直覚,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有罪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
発覚,露見,暴露,ばらす,露呈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
極端,極度,エクストリーム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
見捨てる,裏切る,背く,裏返る,裏ぎる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
敗北,敗戦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
暴行,強姦,レイプ,凌辱,陵辱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
抜け毛,脱毛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
同然,同様,同一,区別不能,クリソツ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
告発,攻撃,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
抑圧,弾圧,圧伏,圧抑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
憎しみ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
殺し,ころし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
憤る,怒る,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
飢餓,干乾し,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
死因,しいん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中傷,ちゅうしょう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
和らぐ,緩む,薄れる,薄らぐ,弛む,たゆむ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やむを得ず,やむおえず,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
搾取,強請,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
迫害,はくがい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
不履行,不軌,不順守,不服従,不遵守,不従順,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
惨め,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
売春,淫売,売淫,売色,売笑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
残虐,残忍,非道,暴虐,無慈悲,陰惨,苛酷,無情,無道,猛悪,惨忍,酷悪,苛虐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
隔離,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
剥き出し,むき出し,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
息苦しい,いきぐるしー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宣告,せんこく,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
復讐,仕返し,敵討ち,報復,リベンジ,あだ討ち,仇討ち,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
誹謗,讒謗,誹毀,非毀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
下腹部,したはらぶ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拷問,小づく,責問,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
甚だしい,はなはだしー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手抜き,怠慢,怠り,軽視,ほったらかし,粗放,無精,懈怠,不行き届き,不行届,不届き,等閑,手落ち,疎慢,忽諸,粗慢,緩怠,抛擲,閑却,不行届き,手抜かり,投げ遣り,疎放,,,,,,,,,,,,,,,,,,,,,
不可解,難解,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
果てる,事切れる,死する,逝く,旅立つ,消え入る,没する,滅する,往く,隠れる,消える,崩ずる,絶入る,消え失せる,押死ぬ,神上る,卒する,身罷る,くたばる,御隠れになる,空しくなる,睡る,薨ずる,事きれる,亡びる,押っ死ぬ,崩じる,歿する,神上がる,消入る,消えうせる,神去る,儚くなる,,,,,,,,,,,
あからさま,露骨,公然,大っぴら,あらわ,オープン,公々然たる,露わ,明け広げ,公公然たる,明けっ広げ,開放的,明広げ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
転落,てんらく,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
飢える,饑える,餓える,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
裏切り,裏切り行為,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
破滅,滅亡,失墜,衰亡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
公的,パブリック,世間的,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やむなく,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
罪人,悪人,奸,悪党,悪漢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
